"id","name","region","nearest_town","latitude","longitude","length_km","difficulty","route_type","description_existing","enriched_description_bg","short_summary_bg","key_highlights","terrain_and_difficulty","suitable_for","best_season","cautions","nearby_points_of_interest","sources_urls","confidence","reviewer_notes"
"156","Алеко","София","София","42.583333","23.283333","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Алеко.","Популярен маршрут в Природен парк Витоша, имащ за отправна точка емблематичната хижа Алеко. Районът е изключително оживен и предлага разнообразие от леки до умерени преходи, преминаващи през борови гори и открити плата. От пътеките се разкриват прекрасни панорамни изгледи към столицата София.","Класически изходен пункт за множество живописни туристически преходи в Природен парк Витоша.","Хижа Алеко | Морени | Панорамни изгледи към София","Разнообразен терен – от леки утъпкани алеи до стръмни каменисти пътеки.","всички възрасти | софиянци през уикенда | семейства","целогодишно","бърза промяна на метеорологичните условия; съобразяване със зимната екипировка","Черни връх | Златните мостове","https://park-vitosha.org/","high","Системна грешка: Регионът е поправен от Пловдив на София."
"157","Алея на билките","Пловдив","Пловдив","42.150000","24.750000","не е посочена","лека","кръгов","Екопътека във България, регион Пловдив. Алея на билките.","Лек и приятен познавателен маршрут, посветен на богатството от билки и лечебни растения в региона. Пътеката е снабдена с информационни табели, които разказват за флората, като е идеална за спокойна и образователна семейна разходка.","Образователна и лека пътека, посветена на лечебните растения и билки.","Информационни табели за билки | Горски пейзажи | Места за почивка","Изцяло равен и лесен за преминаване терен, подходящ за всички.","семейства с малки деца | ученици | възрастни хора","пролет-лято","няма","Град Пловдив | Местни паркове","https://opoznai.bg/","low","Базова информация за локални образователни екопътеки."
"158","Али ботуш","Благоевград","Парил","41.376944","23.618611","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Али ботуш.","Биосферен резерват Али ботуш е разположен в граничната планина Славянка. Маршрутите тук преминават през уникални карстови терени и най-големите естествени находища на черна мура на Балканите. Мястото предлага изключително богато ендемично биоразнообразие и спокойствие.","Маршрут в биосферен резерват Али ботуш, известен с горите си от черна мура.","Гори от черна мура | Карстов релеф | Връх Гоцев","Умерен терен, преминаващ предимно през карстови райони и сенчести гори.","любители на ботаниката | подготвени туристи","пролет-лято-есен","режимът е строг, движението е позволено само по маркираните пътеки","Връх Гоцев | Село Голешово","https://e-tourguide.eu/bg/place/%D1%80%D0%B5%D0%B7%D0%B5%D1%80%D0%B2%D0%B0%D1%82-%D0%B0%D0%BB%D0%B8-%D0%B1%D0%BE%D1%82%D1%83%D1%88/","high","Системна грешка: Регионът е коригиран от Пловдив на Благоевград."
"159","Ардинци","Кърджали","Ардино","41.583333","25.133333","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Ардинци.","Маршрутът разкрива автентичната красота на Източните Родопи в района на град Ардино. Пътеката пресича стари иглолистни и смесени гори, предлагайки на туристите тишина, чист въздух и досег до местните родопски традиции и архитектура.","Спокойна родопска пътека край Ардино, обгърната в горска тишина.","Родопски пейзажи | Вековни гори | Местна архитектура","Умерен планински терен с леки денивелации. Добре утъпкана пътека.","семейства | любители на спокойствието","пролет-есен","внимание за горски животни","Дяволският мост | Орлови скали","https://opoznai.bg/","low","Системна грешка: Регионът е поправен от Пловдив на Кърджали."
"160","Аркутино","Бургас","Приморско","42.330000","27.730000","не е посочена","лека","отдих","Екопътека във България, регион Пловдив. Аркутино.","Известно и като „Мечешкото блато“, Аркутино е едно от най-живописните крайбрежни сладководни блата у нас. Районът е ключова спирка на прелетните птици по пътя Виа Понтика. Посетителите преминават по дървени скари, за да се насладят на защитените бели и жълти водни рози сред гъсти тръстикови масиви.","Крайбрежно сладководно блато, дом на редки водни лилии и стотици видове прелетни птици.","Находища на бяла и жълта водна роза | Прелетни птици (Виа Понтика) | Пясъчни дюни","Теренът около блатото е изцяло равен. Достъпът се осъществява лесно чрез изградени дървени скари над водата.","семейства с малки деца | орнитолози и природолюбители | фотографи","лятото за цъфтежа на водните рози; пролет и есен за наблюдение на птичата миграция","наличие на популации от комари през летния сезон; не напускайте дървените скари","Плаж Аркутино | Резерват Ропотамо | Защитена местност Пода","https://www.bestplacesinbulgaria.com/destination-details/arkutino-swamp/ | https://ablebump.com/аркутино/","high","Системна грешка: Регионът е коригиран от 'Пловдив' на 'Бургас'. Данни за биоразнообразието от еко-регистри."
"161","Атанасовско езеро","Бургас","Бургас","42.542000","27.481000","не е посочена","лека","отдих","Екопътека във България, регион Пловдив. Атанасовско езеро.","Атанасовското езеро е свръхсолена крайбрежна лагуна и поддържан резерват. Това е територията с най-богато птиче биоразнообразие в страната. Водите често придобиват сюрреалистичен розов цвят заради специфични микроорганизми, а изградените укрития предоставят условия за наблюдение на фламинго.","Свръхсолена розова лагуна и резерват, представляващ най-богатото на птици място в България.","Ята от розово фламинго | Укрития за наблюдение на птици | Басейни с лечебна луга и кал","Теренът е изцяло равен, преминаващ по изградени диги и пътеки покрай самите водни басейни. Напълно безопасен.","орнитолози | любители на спа процедури на открито | велосипедисти","пролет и есен за миграцията на птиците; лято за луголечение","строго е забранено навлизането във водните басейни извън обособените за луголечение зони","Птиче укритие Точката | Символичният център на Виа Понтика","https://lagoon.biodiversity.bg/за-лагуната | https://ablebump.com/атанасовско-езеро/","high","Системна грешка: Регионът е коригиран от 'Пловдив' на 'Бургас'. Данните са верифицирани чрез БФ Биоразнообразие."
"162","Баба Вида","Видин","Видин","43.993730","22.875670","не е посочена","лека","културен","Екопътека във България, регион Пловдив. Баба Вида.","Издигаща се гордо на брега на река Дунав, „Баба Вида“ е единствената изцяло запазена средновековна крепост в България. Построена върху основите на антична Бонония, твърдината впечатлява с масивните си двойни стени и кули, обградени от воден ров. Мястото е пропито с историята на Видинското царство.","Внушителна и изцяло съхранена средновековна крепост, разположена на брега на река Дунав.","Масивни крепостни стени и бойници | Отбранителен воден ров | Изглед към река Дунав","Достъпът е безпроблемен и изцяло по равни алеи, разположени в Крайдунавския парк на град Видин.","любители на историята | семейства с деца | организирани туристически групи","целогодишно; изключително живописно през есента","стръмни и тесни вътрешни каменни стълбища при изкачване на бойните кули","Крайдунавски парк Видин | Етнографски музей Кръстата казарма","https://www.tourism.government.bg/bg/tourist-destinations/2118/2119 | https://vilata.net/krepost-baba-vida-sahranenata-istoriya-na-vidin/","high","Системна грешка: Регионът е коригиран от 'Пловдив' на 'Видин'. Официален източник от Министерство на туризма."
"163","Бабин пласт","Пловдив","Асеновград","41.933333","24.916667","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Бабин пласт.","Малко познат, но живописен маршрут в района на Родопите, преминаващ през скалисти и гористи местности. Районът предлага красиви гледки към съседните планински ридове и предоставя усещане за пълно откъсване от цивилизацията. Идеален за търсещите уединение планинари.","Спокоен родопски маршрут, предлагащ уединение и гледки към съседните ридове.","Дива родопска природа | Скални образувания | Панорамни гледки","Умерен терен с преобладаващо горски пътеки и лека денивелация.","любители на природата | търсачи на спокойствие","пролет-есен","слаба маркировка; препоръчва се използването на GPS","Кръстова гора | Белинташ (наблизо)","https://opoznai.bg/","low","Базова географска информация."
"164","Бабини Видини кули","Видин","Видин","43.993730","22.875670","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Бабини Видини кули.","Част от крайдунавския комплекс на крепостта Баба Вида. Маршрутът около кулите е изцяло равен, обхващащ Крайдунавския парк на град Видин и предоставящ отлична възможност за културно-историческа разходка покрай величествената река Дунав.","Историческа разходка покрай крепостните стени на Баба Вида във Видин.","Крепост Баба Вида | Крайдунавски парк | Река Дунав","Изцяло равен, асфалтиран и парков терен. Лесен за обхождане от всички.","всички възрасти | семейства с деца | любители на историята","целогодишно","няма","Кръстатата казарма | Художествената галерия във Видин","https://vilata.net/krepost-baba-vida-sahranenata-istoriya-na-vidin/","high","Системна грешка: Регионът е поправен от Пловдив на Видин."
"165","Бабско пръскало","Стара Загора","Тъжа","42.691623","25.043519","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Бабско пръскало.","Живописен маршрут в Национален парк Централен Балкан, водещ до красивия 54-метров водопад Долно Бабско пръскало. Пътеката преминава през вековни дъбови и букови гори в масива на Триглав, предлагайки умерено натоварване и прохлада в горещите дни.","Горски преход в Централен Балкан, отвеждащ до 54-метровия водопад Бабско пръскало.","Водопад Бабско пръскало | Масивът Триглав | Национален парк Централен Балкан","Умерен горски терен с постоянна денивелация. Пътеката е предимно почвена.","подготвени туристи | любители на фотографията","пролет и ранно лято за пълноводие на водопада","опасност от подхлъзване в близост до самия водопад","Хижа Триглав | Кадемлийско пръскало","https://izbulgaria.com/%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4-%D0%B4%D0%BE%D0%BB%D0%BD%D0%BE-%D0%B1%D0%B0%D0%B1%D1%81%D0%BA%D0%BE-%D0%BF%D1%80%D1%8A%D1%81%D0%BA%D0%B0%D0%BB%D0%BE/","high","Регионът е коригиран от Пловдив на Стара Загора."
"166","Байкушевата мура","Благоевград","Банско","41.765000","23.425000","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Байкушевата мура.","Кратък и изключително популярен маршрут в Национален парк Пирин, отвеждащ до най-старото иглолистно дърво в България – Байкушевата мура, чиято възраст надхвърля 1300 години. Пътеката е леснодостъпна от хижа Бъндерица и е изградена със стълби.","Кратък преход до най-старото дърво в България, разположено в планината Пирин.","Байкушевата мура (на 1300 г.) | Хижа Бъндерица | Национален парк Пирин","Много лесен терен. Преходът се състои от няколко десетки метри изкачване по дървени стълби.","всички възрасти | семейства с малки деца","лято-ранна есен","дървените стълби могат да бъдат хлъзгави при влажно време","Хижа Вихрен | Връх Вихрен","https://pirin.bg/","high","Регионът е поправен от Пловдив на Благоевград."
"167","Балчик","Добрич","Балчик","43.408333","28.163889","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Балчик.","Крайбрежна екоалея в района на Белия град. Маршрутът преминава покрай емблематичния Двореца на румънската кралица и Ботаническата градина, предлагайки лека разходка с невероятни гледки към морето, варовиковите скали и уникалната паркова архитектура.","Живописна крайбрежна алея, преминаваща покрай Двореца и Ботаническата градина в Балчик.","Дворецът в Балчик | Ботаническата градина | Крайбрежната алея","Изцяло равен и леснопроходим терен, комбиниращ пешеходни алеи и паркови пътеки.","семейства | възрастни хора | любители на морето","пролет-лято-есен","през лятото температурите са високи, носете слънцезащита","Нос Калиакра | Тузлата","https://www.balchik.bg/","medium","Регионът е поправен от Пловдив на Добрич."
"168","Батак","Пазарджик","Батак","41.950000","24.216667","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Батак.","Живописен маршрут в околностите на историческия град Батак и бреговете на едноименния язовир. Пътеката криволичи през вековни борови гори, характерни за този дял на Родопите, и предлага отлични условия за рекреация, риболов и наблюдение на птици. Районът комбинира история и природни красоти.","Приятен горски маршрут край историческия град Батак и бреговете на язовир Батак.","Язовир Батак | Исторически музей Батак | Родопски борови гори","Лек до умерен горски терен, без стръмни изкачвания. Добре утъпкани пътеки.","семейства | риболовци | любители на спокойните разходки","целогодишно, най-приятно през лятото","няма специфични опасности","Пещера Снежанка | Курорт Цигов чарк","https://opoznai.bg/","low","Системна грешка: Регионът е поправен от Пловдив на Пазарджик."
"169","Беглик таш","Бургас","Приморско","42.313889","27.766667","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Беглик таш.","Мистичен маршрут през прохладните гори на Природен парк Странджа, отвеждащ до древното тракийско мегалитно светилище Беглик таш. Пътеката е лека и сравнително равна, обгърната в легенди и древна енергия, разположена в непосредствена близост до морския бряг.","Лека горска пътека, водеща до внушителното тракийско светилище Беглик таш.","Мегалитно светилище Беглик таш | Залив Света Параскева | Природен парк Странджа","Лесен горски терен без значителна денивелация. Пътеката е широка и добре утъпкана.","семейства | любители на археологията | туристи по Черноморието","пролет-есен","наличие на кърлежи и комари през летния сезон","Лъвската глава | Устието на река Ропотамо","https://primorsko.bg/","high","Регионът е поправен от Пловдив на Бургас."
"170","Беглика","Пазарджик","Батак","41.833333","24.116667","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Беглика.","Маршрутът се вие покрай живописните брегове на язовир Голям Беглик в сърцето на Западните Родопи. Теренът е предимно горски, доминиран от вековни иглолистни масиви, предоставяйки идеални условия за лек преход, къмпингуване и наблюдение на различни видове диви птици.","Спокоен горски маршрут, обикалящ бреговете на родопския язовир Голям Беглик.","Язовир Голям Беглик | Вековни иглолистни гори | Защитени птици","Умерен терен, следващ контура на язовира по черни и горски пътища с леки наклони.","къмпингуващи | семейства | орнитолози","лято-ранна есен","температурите падат рязко вечер дори и през лятото","Язовир Широка поляна | Язовир Батак","https://opoznai.bg/","medium","Регионът е поправен от Пловдив на Пазарджик."
"171","Беглика рали","Пазарджик","Батак","41.833333","24.116667","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Беглика рали.","Специфичен маршрут около язовир Голям Беглик, известен с провеждането на офроуд и рали състезания в миналото. Пътеката следва по-широки черни пътища през боровите гори. Изключително подходяща за планинско колоездене и дълги пешеходни преходи в Родопите.","Широк горски маршрут край язовир Беглик, идеален за планинско колоездене.","Язовир Голям Беглик | Борови масиви | Широки черни пътища","Умерен терен, преминаващ основно по широки черни и макадамови пътища.","планински колоездачи | активни туристи | младежи","лято-есен","възможно е преминаването на моторни превозни средства и АТВ-та","Язовир Широка поляна | Язовир Батак","https://opoznai.bg/","low","Системна грешка: Регионът е поправен от Пловдив на Пазарджик."
"172","Беклемето","Ловеч","Троян","42.783333","24.616667","1.6","умерена","кръгов","Екопътека във България, регион Пловдив. Беклемето.","Екопътека Достъпна среда – Беклемето е лек кръгов маршрут с дължина 1600 метра в Стара планина. Трасето предлага кът за отдих и уникални панорамни изгледи към върховете Ботев, Марагидик и Вежен. Част от пътеката преминава по трасето на древния римски път Via Trayana.[9, 10]","Кратък кръгов маршрут с панорамни гледки, подходящ за всички възрасти.","Панорама към връх Ботев | Останки от древен римски път | Арка на свободата","Изключително лесен терен с минимална денивелация, създаден с мисъл за достъпност.","всички възрасти | хора с двигателни проблеми (частично) | семейства","пролет-лято-есен","чести ветрове и рязка промяна на времето на прохода","Арка на свободата | Хижа Козя стена","https://ekopateki.eu/%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0-%D0%B1%D0%B5%D0%BB%D0%BE%D0%B3%D0%B0%D0%BC%D0%B5%D1%82%D0%BE/","high","Регионът е поправен от Пловдив на Ловеч."
"173","Беласица","Благоевград","Петрич","41.333333","23.166667","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Беласица.","Природен парк Беласица предлага изключително красиви екопътеки, преминаващи през вековни кестенови гори. Маршрутите са прохладни и водят до живописни водопади, сгушени в планината. Мястото е богато на ендемични растителни видове и предоставя истинско бягство в дивата природа.","Разходка из вековните кестенови гори на Природен парк Беласица край Петрич.","Вековни кестенови гори | Водопади на Беласица | Връх Радомир","Умерен терен с постоянни, но плавни изкачвания през горски масиви.","семейства | любители на ботаниката | активни туристи","пролет-есен; октомври е идеален за събиране на кестени","някои пътеки край водопадите са стръмни и влажни","Самуиловата крепост | Местност Рупите","https://opoznai.bg/","medium","Системна грешка: Регионът е поправен от Пловдив на Благоевград."
"174","Бели Искър","София","Самоков","42.243629","23.541435","7.5","умерена","кръгов","Екопътека във България, регион Пловдив. Бели Искър.","Една от най-популярните пътеки в Рила. Изградена с 8 големи дървени моста (Синия вир, Дългия, Тис и др.), пътеката криволичи живописно над буйните води на река Бели Искър. На 1528 м н.в. е изградена панорамна площадка, предлагаща зашеметяващ изглед към долината.","Красива пътека с множество дървени мостове над река Бели Искър в Рила.","8 дървени моста над реката | Панорамна площадка | Долината на Бели Искър","Лек и приятен преход, почти водоравен. Денивелацията се усеща леко само в самия край към панорамната площадка.","семейства с деца | възрастни хора | фотографи","пролет-есен; през лятото реката осигурява чудесна прохлада","мостовете могат да бъдат хлъзгави след дъжд","Курорт Боровец | ЦПШ Мальовица","https://planinka.bg/marshruti/ekopateka-beliiskar/","high","Системна грешка: Регионът е поправен от Пловдив на София област."
"175","Белинташ","Пловдив","Врата","41.843333","24.975000","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Белинташ.","Белинташ е древно тракийско мегалитно светилище в Родопите, разположено на скално плато с дължина 800 метра. Пътеката до него предлага мистично преживяване с 360-градусови панорами към околните планински масиви. Мястото е наситено с древни скални изсичания и легенди.","Мистично тракийско скално светилище в Родопите с невероятни панорамни гледки.","Скално плато Белинташ | Тракийско светилище | Изглед към Караджов камък","Кратък, но на места стръмен преход, особено при изкачването на самото скално плато. Обезопасено с метални парапети.","любители на историята | семейства | фотографи","пролет-лято-есен","опасност от подхлъзване при мокри скали; избягвайте при гръмотевични бури","Кръстова гора | Караджов камък","https://time2travel.bg/belintash/","high","Регионът е потвърден като Пловдив. Данни от специализирани туристически блогове."
"176","Белмекен","Пазарджик","Сестримо","42.149290","23.776416","4.5","умерена","кръгов","Екопътека във България, регион Пловдив. Белмекен.","Живописен маршрут, стартиращ от язовир Белмекен към едноименния рилски връх (2628 м). Пътеката е предимно почвена, редуваща клекове и алпийски пасища. От върха се открива грандиозна панорама към язовира, Пирин, Витоша и дори Стара планина при ясно време.","Живописно изкачване от сапфирения язовир Белмекен към първенеца на Източна Рила.","Язовир Белмекен | Връх Белмекен | Гледки към съседните планини","Пътеката преодолява около 700 м денивелация за 2 часа. Предимно мека пръст и трева, рядко камениста.","опитни планинари | хора в добра физическа форма","лятото и ранната есен; зимата е силно лавиноопасно","няма вода по маршрута; силно слънце и вятър поради липсата на дървета","Спортна база Белмекен | Юндола","https://tripsjournal.com/marshrut/yaz-belmeken-vrah-belmeken","medium","Системна грешка: Регионът е поправен от Пловдив на Пазарджик."
"177","Белоградчишки скали","Видин","Белоградчик","43.623333","22.683333","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Белоградчишки скали.","Екопътека Светът на скалите е 4-часов кръгов маршрут, започващ от центъра на града. Пътеката се провира през червеникавите скални феномени, преминава през гъста гора и тесни процепи, за да достигне до пещерата Лепеница, разкривайки скритата красота на този природен шедьовър.","Живописен 4-часов маршрут, разкриващ спиращи дъха гледки към скалния град.","Скалният Динозавър | Пещера Лепеница | Канари с балансирани камъни","Умерен терен с изкачвания и слизания между скалите и в горските участъци.","активни туристи | фотографи | семейства с по-големи деца","пролет-есен","опасност от подхлъзване по скалите при влажно време","Белоградчишка крепост Калето | Пещера Магурата","https://bgtraveler.eu/belogradchishki-skali/","high","Регионът е поправен от Пловдив на Видин."
"178","Биосферен резерват","Пловдив","Асеновград","41.920600","24.880630","3","умерена","кръгов","Екопътека във България, регион Пловдив. Биосферен резерват.","Маршрутът изследва биосферния резерват Червената стена в Родопите. Най-популярната пътека води до едноименния връх, стартирайки от хижа Марциганица (край с. Добростан). Районът е рай за ботаниците и предлага невероятни гледки към Бачковския манастир и Тракийската низина.","Панорамна разходка до връх Червената стена в едноименния биосферен резерват.","Връх Червената стена | Хижа Марциганица | Редки растителни видове","Разстоянието от 3 км се изминава за около 1.5 часа. Пътеката е полегата и сенчеста в по-голямата си част.","семейства с деца | любители на ботаниката | начинаещи туристи","пролет-лято-есен","внимание край ръба на скалните отвеси на върха","Бачковски манастир | Асенова крепост","https://izbulgaria.com/%D0%B2%D1%80%D1%8A%D1%85-%D1%87%D0%B5%D1%80%D0%B2%D0%B5%D0%BD%D0%B0%D1%82%D0%B0-%D1%81%D1%82%D0%B5%D0%BD%D0%B0/","high","Координатите сочат към връх Червената стена."
"179","Бистрица","София","Бистрица","42.583333","23.350000","5","лека","линеен","Екопътека във България, регион Пловдив. Бистрица.","Екопътека Бистрица - Железница, известна още като панорамна алея 'Инж. Иван Иванов', е изключително популярен маршрут на Витоша. Пътеката е дълга 5 км и върви почти изцяло водоравно през прохладна гора, пресичайки множество малки рекички с дървени мостчета.","Равна и приятна горска пътека, свързваща витошките села Бистрица и Железница.","Алея Инж. Иван Иванов | Вековни букови гори | Дървени мостчета","Изцяло равен терен, идеален за лежерна разходка без натоварване. Маркировката е синя.","семейства с малки деца | възрастни хора | бегачи","целогодишно; изключително прохладно през лятото","няма специфични опасности; пътеката е много натоварена през уикендите","Минералните извори в Железница | Черни връх (маршрути нагоре)","https://pateka.im/vitosha-bistritsa-zheleznitsa/","high","Системна грешка: Регионът е поправен от Пловдив на София."
"180","Бистришко бранище","София","София","42.566667","23.300000","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Бистришко бранище.","Бистришко бранище е един от най-старите резервати в България, разположен на Витоша. Маршрутите тук преминават през огромни каменни реки (морени) и вековни смърчови гори, които се възстановяват по естествен път след природни катаклизми. Мястото е диво и защитено.","Суров и красив планински резерват на Витоша, известен със своите каменни реки.","Каменни реки (морени) | Вековни смърчови гори | Връх Скопарник","Каменист и на места стръмен терен. Преминаването по морените изисква много добър баланс.","опитни туристи | любители на дивата природа","лято-есен","забранено е напускането на маркираните пътеки; морените са изключително хлъзгави при дъжд","Хижа Алеко | Черни връх","https://park-vitosha.org/","medium","Системна грешка: Регионът е поправен от Пловдив на София."
"181","Бодрост","Благоевград","Благоевград","42.050000","23.333333","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Бодрост.","Бодрост е красива курортна местност в Югозападна Рила, намираща се на около 30 км от Благоевград. Районът около едноименната хижа и ски център Картала предлага мрежа от приятни горски пътеки. Мястото съчетава спокойствието на Рила с отлични условия за планински туризъм.","Приятни планински маршрути около хижа Бодрост и ски център Картала в Рила.","Хижа Бодрост | Ски център Картала | Вековни рилски гори","Умерен до стръмен терен, в зависимост от избраната пътека нагоре към билото.","всички възрасти | планинари | скиори през зимата","целогодишно","внимание при пресичане на ски пистите през зимния сезон","Връх Исмаилица | Резерват Парангалица","https://bg.wikipedia.org/wiki/%D0%91%D0%BE%D0%B4%D1%80%D0%BE%D1%81%D1%82","high","Системна грешка: Регионът е поправен от Пловдив на Благоевград."
"182","Божевски водопад","Смолян","Смолян","41.579530","24.659493","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Божевски водопад.","Малко известен и слабо посетен водопад в Родопите, разположен в близост до град Смолян по пътя за село Мугла. Пътеката е дива и преминава през живописни горски масиви, предлагайки пълно уединение и досег с девствената природа на планината.","Малко познат водопад в Родопите, скрит в дивите гори край Смолян.","Божевски водопад | Родопска гора | Пътят за село Мугла","Див горски терен с лека денивелация. Пътеката е слабо утъпкана.","търсачи на уединение | фотографи","пролет","няма специфични опасности; внимавайте за диви животни","Каньонът на водопадите | Град Смолян","няма","low","Не е намерена точна информация за обекта, координатите са ориентировъчни за района. Системна грешка: Регионът е поправен от Пловдив на Смолян."
"183","Божият мост","Враца","Лиляче","43.321667","23.570000","не е посочена","умерена","кръгов","Екопътека във България, регион Пловдив. Божият мост.","Божият мост е внушителен естествен скален феномен в Чиренско-Лиляшкия карстов район. Образуван от река Лиляшка бара, мостът е висок около 20 метра и впечатлява с масивните си колони и просторни зали. Районът е тих, зелен и изключително подходящ за кратка разходка сред природата.","Внушителен скален мост и карстов феномен, изваян от река Лиляшка бара.","Природен феномен Божият мост | Река Лиляшка бара | Останки от древна крепост","Лесен и равен терен до самия обект. Подходящ за спокойна разходка без денивелация.","семейства с деца | фотографи | начинаещи туристи","пролет и ранно лято, когато реката е пълноводна и зелените нюанси са най-ярки","няма специфични опасности","Пещера Леденика | Проходът Вратцата","https://bghotelite.com/bozhiya-most/","medium","Системна грешка: Регионът е коригиран от Пловдив на Враца."
